Date,Block,Primary Type,Description,Location Description,Ward,Community Area,Year,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
05/28/2019 12:00:00 PM,0000X N MORGAN ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,25,28,2019,"(41.882183441, -87.652046963)",41,14917,29,63,26,44,15,92
05/28/2019 11:30:00 AM,074XX S WESTERN AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,AUTO / BOAT / RV DEALERSHIP,18,66,2019,"(41.758659689, -87.683079488)",6,22257,64,333,30,23,13,226
05/28/2019 11:30:00 AM,017XX W NORTH SHORE AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,49,1,2019,"(42.003480009, -87.674532962)",3,21853,10,242,5,9,11,41
05/28/2019 11:00:00 AM,055XX S WABASH AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,20,40,2019,"(41.793717362, -87.624061801)",53,22260,7,403,4,60,24,111
05/28/2019 09:45:00 AM,042XX W VAN BUREN ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,28,26,2019,"(41.875196386, -87.731072469)",36,21572,27,717,23,30,16,142
05/28/2019 09:00:00 AM,016XX W 13TH ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,28,28,2019,"(41.86506337, -87.667710325)",48,14920,29,96,23,43,15,150
05/28/2019 08:00:00 AM,050XX W ROSCOE ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,31,15,2019,"(41.942397962, -87.753064215)",25,22618,15,114,17,21,12,26
05/28/2019 03:45:00 AM,001XX N MICHIGAN AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,42,32,2019,"(41.884790951, -87.624469241)",22,14309,38,580,36,42,22,87
05/28/2019 02:00:00 AM,008XX E 80TH ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,8,44,2019,"(41.749476996, -87.603528681)",9,21546,40,247,35,61,20,227
05/28/2019 02:00:00 AM,088XX S UNION AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,21,71,2019,"(41.733474245, -87.641112802)",18,21554,70,608,13,59,9,243
05/28/2019 01:00:00 AM,125XX S PRINCETON AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,9,53,2019,"(41.666387196, -87.62949798)",30,21861,50,7,43,19,10,218
05/27/2019 11:00:00 PM,065XX S KIMBARK AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,20,42,2019,"(41.776176511, -87.594551952)",53,22260,9,27,4,60,18,206
05/27/2019 11:00:00 PM,067XX S KILBOURN AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,13,65,2019,"(41.77053243, -87.734746883)",23,21867,63,318,15,58,13,209
05/27/2019 10:00:00 PM,043XX N HAZEL ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,46,3,2019,"(41.961172016, -87.652309198)",37,21186,31,577,39,53,5,5
05/27/2019 10:00:00 PM,067XX S SANGAMON ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,6,68,2019,"(41.771967298, -87.648221547)",17,21559,66,410,32,11,17,202
05/27/2019 09:30:00 PM,110XX S AVENUE O,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,10,52,2019,"(41.69453818, -87.540110336)",47,21202,49,603,47,25,19,259
05/27/2019 09:00:00 PM,032XX W DOUGLAS BLVD,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,24,29,2019,"(41.862505127, -87.706121724)",36,21569,30,34,14,57,21,152
05/27/2019 08:30:00 PM,101XX S SANGAMON ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,34,73,2019,"(41.70976581, -87.646556798)",45,22212,72,594,22,13,9,253
